Text,Type,Valence,Intensity,Controllability,Utility,Timestamp
Du har nogle gode idéer.,After but,2,-1,3,2,2019-12-9 19:40:37
Hvem kunne tænke sig at hjælpe til?,Questions,2,0,2,2,2019-12-9 19:40:37
Den åbner vores horisonter og giver nye perspektiver på tilværelsen.,Simple positive,3,-1,2,4,2019-12-9 19:40:37
Du har ikke kun koncentreret dig om udviklingen.,Not question,2,-1,1,1,2019-12-9 19:40:38
"Til alt held for hende, fik hun medvind fra folketinget",Simple positive,2,-1,1,3,2019-12-9 19:40:39
Hvad skal dette ikke til for?,Questions,-2,2,-2,-1,2019-12-9 19:40:39
"Det var det, vi snakkede om.",Complex sentences,-1,-1,1,1,2019-12-9 19:40:39
Du snupper en øl med mig.,Not question,1,1,-1,1,2019-12-9 19:40:40
Hvad vil du helst?,Questions,0,1,2,2,2019-12-9 19:40:40
Du er måske udmattet af hverdagen!,Simple negative,-2,1,-1,2,2019-12-9 19:40:40
"Synes du ikke også at tiden flyver af sted, når man har det sjovt?",Questions,3,1,1,4,2019-12-9 19:40:41
Du kommer i morgen.,Not question,0,-1,-1,-1,2019-12-9 19:40:41
Så er det jo lige meget med alle mine stavefejl.,Complex sentences,1,-2,-1,1,2019-12-9 19:40:42
"Jeg havde det super sjovt, men så blev jeg syg.",With but,-2,1,-2,-2,2019-12-9 19:40:42
Du burde gøre mere end bare at blande dig.,Complex sentences,-1,3,-3,1,2019-12-9 19:40:43
Du gætter det aldrig.,Simple positive,2,4,-2,2,2019-12-9 19:43:18
"Jeg tror ikke, hun har forstået det.",Before but,-3,NA,1,NA,2019-12-9 19:43:19
Det er ikke genialt.,Simple negative,-3,2,-3,-4,2019-12-10 13:1:14
Jeg endte tit med at sidde inde på kontoret og tude.,Simple negative,-4,3,-2,-3,2019-12-10 13:1:14
Det havde jeg glemt.,Simple negative,0,0,1,-1,2019-12-10 13:1:15
Betjeningen var elendig.,After but,-4,3,3,-2,2019-12-10 13:1:16
Du vil ikke lave det igen.,Not question,-1,1,-2,-2,2019-12-10 13:1:16
Maden er for stærk.,Simple negative,-2,1,-2,-2,2019-12-10 13:1:16
Jeg tror du har forstået det!,Simple positive,3,2,2,4,2019-12-10 13:1:17
Du kan huske den.,Not question,2,-2,2,2,2019-12-10 13:1:17
Du burde gøre mere end at blande dig.,Complex sentences,-3,3,-3,-4,2019-12-10 13:1:18
"Før var det okay, men nu er det for galt.",With but,-3,3,4,-4,2019-12-10 13:1:18
Dit humør og din livskvalitet bliver også påvirket,Complex sentences,-4,3,-3,-4,2019-12-10 13:1:18
Du har ikke brug for hjælp.,Not question,-2,2,-2,-2,2019-12-10 13:1:19
Du kommer i morgen.,Not question,0,1,0,0,2019-12-10 13:1:19
Du vil begynde at lave det igen.,Not question,0,1,1,1,2019-12-10 13:1:20
Jeg havde det super sjovt.,Before but,4,-4,3,3,2019-12-10 13:1:20
Det er ikke kunst.,Not question,-3,3,2,-3,2019-12-10 13:1:21
Du har det godt.,Not question,2,-2,3,3,2019-12-10 13:1:21
Så blev jeg syg.,After but,-2,1,-2,-2,2019-12-10 13:1:22
Jeg er blank.,Before but,-1,2,-1,-1,2019-12-10 13:1:22
Det tror jeg ikke på.,Before but,-2,3,-3,-3,2019-12-10 13:1:23
"Hvem tror du, du er?",Questions,-3,3,-3,-4,2019-12-10 13:14:14
Han er lidt dum.,Before but,-2,1,3,-1,2019-12-10 13:14:14
Man kunne gøre det anderledes.,Not question,0,-2,3,0,2019-12-10 13:14:14
Før var du sjov.,Before but,-2,2,-1,-3,2019-12-10 13:14:15
"Jeg er blank, men du har nogle gode idéer.",With but,3,-4,2,3,2019-12-10 13:14:15
Jeg har ikke en bedre forklaring selv.,After but,0,2,-1,0,2019-12-10 13:14:16
Der var beskidt.,Before but,-2,2,1,-1,2019-12-10 13:14:16
Du vil ikke begynde at lave det igen.,Not question,0,1,-1,-1,2019-12-10 13:14:17
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,2,-2,2,3,2019-12-10 13:14:17
"Der var beskidt, men vi havde det godt.",With but,2,-1,1,0,2019-12-10 13:14:18
Der var beskidt.,Before but,-2,1,1,-2,2019-12-10 13:14:18
"Det var det, vi snakkede om.",Complex sentences,0,-2,-1,1,2019-12-10 13:14:18
"Kæft, det er ikke sejt.",Simple negative,-3,4,-3,-2,2019-12-10 13:14:19
"Jeg afprøvede en drøm om at blive tatovør, men det skulle ikke være mig lige nu.",Complex sentences,-1,-2,2,2,2019-12-10 13:14:19
Han kunne godt have givet en hånd med.,Before but,-2,2,-1,-1,2019-12-10 13:14:20
"Jeg tror ikke, hun har forstået det.",Before but,-3,2,2,-2,2019-12-10 13:14:20
Gør du mig ikke lige en tjeneste?,Questions,0,0,3,1,2019-12-10 13:14:20
De er sure.,Simple negative,-3,2,-3,-2,2019-12-10 13:14:21
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,-2,3,2,1,2019-12-10 13:14:21
Vi er nødt til at have sandheden.,Simple positive,0,4,3,3,2019-12-10 13:14:22
Hun klarede det nu meget godt.,After but,4,-4,3,3,2019-12-10 15:30:2
"Jeg havde det super sjovt, men så blev jeg syg.",With but,-2,-2,2,0,2019-12-10 15:30:2
Jeg har forsøgt at få den idé ud i verden,Complex sentences,1,2,2,3,2019-12-10 15:30:2
Du vil begynde at lave det igen.,Not question,0,1,-1,1,2019-12-10 15:30:3
Det er fornuftigt.,Simple positive,2,3,-1,3,2019-12-10 15:30:3
Nu er du bare dum at høre på!!,After but,-4,5,-5,-4,2019-12-10 15:30:4
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,2,-1,2,2,2019-12-10 15:30:4
Ordene skulle føles lette i munden.,Simple positive,-1,1,2,0,2019-12-10 15:30:4
Det vil ikke spare borgerne for unødvendige fremmøder.,Simple negative,-3,2,-2,-2,2019-12-10 15:30:5
Der var beskidt.,Before but,-3,2,-1,-3,2019-12-10 15:30:5
"Jeg håber virkelig ikke, at vi vinder prisen.",Simple negative,-3,4,-3,0,2019-12-10 15:30:5
"Vi fik lagt den energi i det, som vi ville.",Simple positive,2,4,3,3,2019-12-10 15:30:6
Kommunikationen til passagererne skal klart forbedres.,Simple negative,-1,-1,3,2,2019-12-10 15:30:6
"Vi glæder os til den tid, vi går i møde.",Simple positive,3,-4,4,4,2019-12-10 15:30:7
Han er lidt dum.,Before but,-2,1,-1,-2,2019-12-10 15:30:7
"Han kunne godt have givet en hånd med, men han havde ikke lyst.",With but,-2,-2,-2,-1,2019-12-10 15:30:7
"Jeg er blank, men du har nogle gode idéer.",With but,3,1,3,3,2019-12-10 15:30:8
Jeg tænker på dig.,Simple positive,3,3,0,3,2019-12-10 15:30:8
Vil du ikke begynde at lave det igen?,Questions,1,-1,1,2,2019-12-10 15:30:8
Du kommer i morgen.,Not question,0,2,-1,0,2019-12-10 15:30:9
"Jeg er blank, men du har nogle gode idéer.",With but,-1,2,3,2,2019-12-10 16:25:4
"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor.",Complex sentences,2,-3,2,3,2019-12-10 16:25:4
Den er blevet flyttet.,Not question,2,1,-1,0,2019-12-10 16:25:4
Nu er du bare dum at høre på!!,After but,0,-1,2,0,2019-12-10 16:25:5
Der er ikke tillid til ledelsen.,Simple negative,4,2,3,5,2019-12-10 16:25:6
Hvad skal du i dag?,Questions,-4,4,3,0,2019-12-10 16:25:6
Nu er du bare dum at høre på!!,After but,-3,4,-3,-2,2019-12-10 16:25:6
Jeg vil ikke prøve den løsning næste gang.,Simple negative,3,-4,4,4,2019-12-10 16:25:7
Du kan huske den.,Not question,2,-3,3,3,2019-12-10 16:25:7
Jeg kan se pointen med det.,Simple positive,3,-4,2,3,2019-12-10 16:25:7
"Kæft, det er bare ikke sejt.",Simple negative,-3,2,-2,-3,2019-12-10 16:25:8
