Text,Valence,Intensity,Controllability,Utility,Type
"Åh, jeg glæder mig så meget!",5,4,-3,5,Simple positive
Betjeningen var elendig.,-3.8666666666666667,1.8666666666666667,-1.6666666666666667,-1.8,After but
De er ikke sure.,-3,2,-1,-2,Simple positive
De er sure.,-3,2,-3,-2,Simple negative
De har svært ved at forstå kritikken.,-2,1,-2,-1,Simple negative
De smider desværre rigtig meget mad ud.,-4,3,-2,-2,Simple negative
De spiller stadig.,0.5,0.5,1.5,1,Not question
De to søstre taler ikke sammen og ses sjældent.,-2,1.5,-1.5,-1,Simple negative
Den åbner vores horisonter og giver nye perspektiver på tilværelsen.,3,-1,2,4,Simple positive
Den bliver dårlig.,-4,2,-3,-4,Simple negative
Den bliver ikke dårlig.,5,5,4,4,Simple positive
Den er blevet flyttet.,0,-0.5,-2,0.5,Not question
Den globale økonomi ryster ikke.,3,-3,3,2,Simple positive
Den har en funktion og en betydning,2,-2,1,2,Simple positive
Den har hverken en funktion eller en betydning,-3,3,-2,-2,Simple negative
Den her er satme ikke god.,-4.333333333333333,3.6666666666666665,-1.3333333333333333,-1.3333333333333333,Simple negative
Den her er satme også god.,4,-3,3,3,Simple positive
Den stakkels landmand må få en traktor.,1.2727272727272727,-2.1818181818181817,2.6363636363636362,2.5454545454545454,Not question
Den stakkels landmand må ikke få en traktor.,-3.3333333333333335,2,-2,-2.3333333333333335,Not question
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",-2.111111111111111,1.5555555555555556,NA,-0.7777777777777778,Complex sentences
Der er ikke tillid til ledelsen.,-1.3333333333333333,2.6666666666666665,0.3333333333333333,-0.6666666666666666,Simple negative
"Der er noget personligt, som du ikke har haft tid til.",-1.3333333333333333,1.3333333333333333,-1,-1.3333333333333333,Not question
Der er overhovedet ikke nogen der gider.,-3.6,1.6,-1.4,-3,Not question
"Der var beskidt, men vi havde det godt.",1.7647058823529411,-0.4117647058823529,2.0588235294117645,1.8823529411764706,With but
Der var beskidt.,-2.75,1.75,-1,-1.4166666666666667,Before but
Deres favorit tæller også med.,-1,2,-2,-2,Simple positive
Det bliver bare kedeligt.,-4.5,4,-1,-3,Simple negative
Det er altid godt,3,-5,4,4,Simple positive
"Det er bare gået så skidt, og ingen er tilfredse eller begejstrede.",-5,4,-4,-5,Simple negative
Det er bekymrende.,-2,2,-2,-1,Simple negative
Det er da fornuftigt.,3,-0.5,4.5,3,Simple positive
Det er da ikke skønt.,-2.5,1.5,-2,-1,Simple negative
Det er da klart når personalet har fingrene i kagedåsen.,-3.5,3.5,-2.5,-2,Simple negative
Det er da lidt fornuftigt.,2,-2,1,1,Simple positive
Det er da nogenlunde fornuftigt.,2,-3,2,2,Simple positive
"Det er den udvikling, jeg går i gennem.",0,0,0,0,Simple positive
Det er det bedste jeg har hørt om.,3.5,-1.5,1.5,1.5,Simple positive
Det er det jeg skal have.,0,-2,3,2,Simple positive
Det er det værste jeg har hørt om.,-4,3.5,-2.5,-3.5,Simple negative
Det er dig skat.,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,Not question
Det er dit mål.,1.5,1.375,1.875,1.875,Not question
det er en ære at komme i så fint selskab.,4,3,-2,1,Simple positive
Det er en ære at komme i sådan et selskab.,3.75,0.25,NA,3,Simple positive
Det er en god ide.,3,-4,2,3,Simple positive
Det er flot og velfortjent,3.6666666666666665,-1.3333333333333333,2.3333333333333335,3.6666666666666665,Simple positive
Det er fornuftigt.,2,0,1,3,Simple positive
Det er gaven der bliver ved med at give.,3,-3,2,3,Simple positive
